レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202602071801,1,3,2,1,2,3.0,○,×,×,×,逃げ,逃げ,○
202602071802,1,3,2,1,3,4.0,○,○,×,×,逃げ,逃げ,○
202602071803,1,2,3,1,2,3.0,○,○,○,○,逃げ,逃げ,○
202602071804,1,3,2,1,5,3.0,○,×,×,×,逃げ,逃げ,○
202602071805,1,4,2,4,5,1.0,×,×,×,×,逃げ,まくり,×
202602071806,1,2,3,2,3,5.0,×,×,×,×,逃げ,,-
202602071807,1,2,3,1,5,4.0,○,×,×,×,逃げ,逃げ,○
202602071808,1,3,2,1,4,5.0,○,×,×,×,逃げ,逃げ,○
202602071809,1,3,2,1,3,6.0,○,○,×,×,逃げ,逃げ,○
202602071810,1,2,3,2,4,5.0,×,×,×,×,逃げ,差し,×
202602071811,1,3,2,2,1,4.0,×,×,×,×,逃げ,差し,×
202602071812,1,2,3,4,2,3.0,×,○,○,×,逃げ,差し,×
202602071701,1,4,2,1,6,4.0,○,×,×,×,逃げ,逃げ,○
202602071702,1,3,2,1,4,6.0,○,×,×,×,逃げ,逃げ,○
202602071703,1,2,4,4,6,1.0,×,×,×,×,逃げ,まくり,×
202602071704,1,2,3,6,1,2.0,×,×,×,×,逃げ,差し,×
202602071705,4,1,2,1,4,2.0,×,×,○,×,逃げ,逃げ,○
202602071706,1,2,3,4,1,6.0,×,×,×,×,逃げ,まくり,×
202602071707,1,2,4,1,2,6.0,○,○,×,×,逃げ,逃げ,○
202602071708,1,3,2,3,5,6.0,×,×,×,×,逃げ,まくり,×
202602071709,1,2,3,3,2,1.0,×,○,×,×,逃げ,差し,×
202602071710,1,3,4,2,1,3.0,×,×,×,×,逃げ,差し,×
202602071711,1,2,3,1,3,4.0,○,×,×,×,逃げ,,-
202602071712,1,2,3,1,4,2.0,○,×,×,×,逃げ,逃げ,○
202602071601,1,4,5,1,2,3.0,○,×,×,×,逃げ,逃げ,○
202602071602,1,3,4,4,2,6.0,×,×,×,×,逃げ,,-
202602071603,1,2,3,1,6,3.0,○,×,○,×,逃げ,逃げ,○
202602071604,1,3,2,1,4,6.0,○,×,×,×,逃げ,逃げ,○
202602071605,1,2,4,1,3,4.0,○,×,○,×,逃げ,逃げ,○
202602071606,4,1,2,2,3,1.0,×,×,×,×,逃げ,まくり,×
202602071607,1,3,2,1,5,4.0,○,×,×,×,逃げ,逃げ,○
202602071608,1,3,2,1,2,3.0,○,×,×,×,逃げ,逃げ,○
