レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202602012301,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202602012302,1,3,2,2,4,1,×,×,×,×,逃げ,差し,×
202602012303,1,2,3,1,3,6,○,×,×,×,逃げ,,-
202602012304,1,3,2,2,1,3,×,×,×,×,逃げ,差し,×
202602012305,1,2,3,5,3,2,×,×,×,×,逃げ,まくり,×
202602012306,2,3,1,5,3,1,×,○,○,×,逃げ,差し,×
202602012307,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602012308,1,3,4,2,5,1,×,×,×,×,逃げ,差し,×
202602012309,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202602012310,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202602012311,1,4,2,1,3,5,○,×,×,×,逃げ,逃げ,○
202602012312,1,2,3,1,5,4,○,×,×,×,逃げ,逃げ,○
202602012101,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202602012102,1,2,3,4,1,6,×,×,×,×,逃げ,差し,×
202602012104,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202602012105,1,2,3,1,3,5,○,×,×,×,逃げ,逃げ,○
202602012106,3,2,1,2,1,6,×,×,×,×,逃げ,差し,×
202602012107,1,3,2,2,4,1,×,×,×,×,逃げ,差し,×
202602012109,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202602012110,1,2,3,5,2,6,×,○,×,×,逃げ,差し,×
202602012111,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202602012112,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202602011901,1,3,4,4,3,1,×,○,×,×,逃げ,,-
202602011902,1,2,3,2,1,6,×,×,×,×,逃げ,,-
202602011903,1,3,2,1,6,2,○,×,○,×,逃げ,逃げ,○
202602011904,1,2,4,1,6,2,○,×,×,×,逃げ,逃げ,○
202602011905,1,2,4,3,2,6,×,○,×,×,逃げ,まくり,×
202602011906,1,2,4,1,5,3,○,×,×,×,逃げ,逃げ,○
202602011907,1,2,4,1,5,2,○,×,×,×,逃げ,逃げ,○
202602011908,1,3,2,1,3,6,○,○,×,×,逃げ,逃げ,○
202602011909,1,2,4,6,1,4,×,×,○,×,逃げ,,-
202602011910,1,3,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202602011911,1,3,2,1,6,3,○,×,×,×,逃げ,逃げ,○
202602011912,1,2,3,2,1,5,×,×,×,×,逃げ,差し,×
202602011601,1,2,3,5,1,3,×,×,○,×,逃げ,差し,×
202602011602,3,1,2,2,1,3,×,○,×,×,逃げ,,-
202602011603,1,3,2,4,6,1,×,×,×,×,逃げ,まくり,×
202602011604,1,5,4,4,1,2,×,×,×,×,逃げ,差し,×
202602011605,1,3,6,6,3,5,×,○,×,×,逃げ,差し,×
202602011606,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202602011607,1,2,5,1,2,6,○,○,×,×,逃げ,逃げ,○
202602011608,1,2,3,5,2,1,×,○,×,×,逃げ,差し,×
202602011609,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202602011610,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202602011611,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202602011612,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202602011401,1,2,3,1,5,2,○,×,×,×,逃げ,逃げ,○
202602011402,1,2,4,1,3,4,○,×,○,×,逃げ,逃げ,○
202602011403,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202602011404,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602011405,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202602011406,1,2,3,4,2,5,×,○,×,×,逃げ,まくり,×
202602011407,1,6,2,3,6,5,×,○,×,×,逃げ,まくり,×
202602011408,1,2,3,4,2,3,×,○,○,×,逃げ,,-
202602011409,1,2,4,6,4,2,×,×,×,×,逃げ,差し,×
202602011410,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202602011411,1,4,2,1,3,4,○,×,×,×,逃げ,逃げ,○
202602011412,1,2,3,1,5,6,○,×,×,×,逃げ,逃げ,○
202602011301,1,3,2,3,2,5,×,×,×,×,逃げ,,-
202602011302,1,3,4,2,1,3,×,×,×,×,逃げ,,-
202602011303,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202602011304,1,2,4,5,3,6,×,×,×,×,逃げ,まくり,×
202602011305,1,2,3,5,2,1,×,○,×,×,逃げ,まくり,×
202602011306,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202602011307,1,3,2,6,1,2,×,×,○,×,逃げ,まくり,×
202602011308,1,4,5,5,1,2,×,×,×,×,逃げ,差し,×
202602011309,1,4,3,1,3,6,○,×,×,×,逃げ,,-
202602011310,1,3,4,1,5,2,○,×,×,×,逃げ,逃げ,○
202602011311,1,2,3,1,6,3,○,×,○,×,逃げ,逃げ,○
202602011312,1,3,6,1,6,4,○,×,×,×,逃げ,逃げ,○
202602011201,1,5,6,1,2,3,○,×,×,×,逃げ,逃げ,○
202602011202,1,2,6,5,1,4,×,×,×,×,逃げ,差し,×
202602011203,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202602011204,1,5,4,4,5,6,×,○,×,×,逃げ,差し,×
202602011205,1,2,6,1,4,6,○,×,○,×,逃げ,逃げ,○
202602011206,1,6,2,4,1,2,×,×,○,×,逃げ,差し,×
202602011207,1,2,6,1,2,6,○,○,○,○,逃げ,逃げ,○
202602011208,1,3,4,1,3,2,○,○,×,×,逃げ,逃げ,○
202602011209,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602011210,1,3,2,1,5,3,○,×,×,×,逃げ,逃げ,○
202602011211,1,3,4,1,4,2,○,×,×,×,逃げ,,-
202602011212,1,3,4,3,1,2,×,×,×,×,逃げ,差し,×
202602011001,1,3,4,1,3,6,○,○,×,×,逃げ,逃げ,○
202602011002,1,2,4,4,1,2,×,×,×,×,逃げ,まくり,×
202602011003,1,2,3,1,6,2,○,×,×,×,逃げ,逃げ,○
202602011004,1,3,4,1,3,6,○,○,×,×,逃げ,逃げ,○
202602011005,1,5,2,1,4,6,○,×,×,×,差し,逃げ,×
202602011006,1,4,2,1,3,5,○,×,×,×,逃げ,逃げ,○
202602011007,1,3,6,4,6,1,×,×,×,×,逃げ,差し,×
202602011008,1,2,4,4,1,3,×,×,×,×,逃げ,差し,×
202602011009,4,1,3,4,2,3,○,×,○,×,逃げ,逃げ,○
202602011010,1,2,3,1,5,3,○,×,○,×,逃げ,逃げ,○
202602011011,1,2,5,4,2,6,×,○,×,×,逃げ,差し,×
202602011012,1,2,3,1,5,4,○,×,×,×,逃げ,逃げ,○
202602010701,1,4,3,1,2,5,○,×,×,×,逃げ,逃げ,○
202602010702,1,3,5,2,6,1,×,×,×,×,逃げ,差し,×
202602010703,2,1,6,1,2,4,×,×,×,×,逃げ,逃げ,○
202602010704,1,2,3,3,2,4,×,○,×,×,逃げ,差し,×
202602010705,2,1,3,1,3,2,×,×,×,×,差し,逃げ,×
202602010706,1,6,2,2,3,6,×,×,×,×,逃げ,まくり,×
202602010707,1,3,4,1,3,2,○,○,×,×,逃げ,逃げ,○
202602010708,2,1,5,1,2,5,×,×,○,×,逃げ,逃げ,○
202602010709,4,1,3,4,5,1,○,×,×,×,逃げ,まくり,×
202602010710,1,2,4,1,4,3,○,×,×,×,逃げ,逃げ,○
202602010711,1,2,3,1,4,6,○,×,×,×,逃げ,逃げ,○
202602010712,1,3,4,1,3,2,○,○,×,×,逃げ,逃げ,○
202602010601,1,2,3,1,6,3,○,×,○,×,逃げ,逃げ,○
202602010602,2,3,5,4,1,2,×,×,×,×,逃げ,,-
202602010603,2,4,1,2,3,5,○,×,×,×,差し,差し,○
202602010604,4,5,2,2,3,1,×,×,×,×,まくり,差し,×
202602010605,1,3,2,2,1,6,×,×,×,×,逃げ,差し,×
202602010606,3,1,5,1,3,2,×,×,×,×,まくり,逃げ,×
202602010607,2,6,3,2,1,6,○,×,×,×,差し,,-
202602010608,1,5,4,3,4,1,×,×,×,×,差し,まくり,×
202602010609,1,3,2,1,4,3,○,×,×,×,逃げ,逃げ,○
202602010610,1,3,5,3,5,1,×,×,×,×,逃げ,まくり,×
202602010611,1,3,2,5,2,4,×,×,×,×,逃げ,差し,×
202602010612,1,3,4,5,1,3,×,×,×,×,逃げ,差し,×
202602010401,1,3,4,4,3,5,×,○,×,×,逃げ,まくり,×
202602010402,5,2,3,2,3,5,×,×,×,×,差し,差し,○
202602010403,2,5,6,5,6,3,×,×,×,×,差し,まくり,×
202602010404,2,1,3,3,4,2,×,×,×,×,逃げ,,-
202602010405,1,5,2,4,5,6,×,○,×,×,逃げ,まくり,×
202602010406,2,1,6,3,1,4,×,○,×,×,差し,差し,○
202602010407,3,1,2,5,1,2,×,○,○,×,差し,差し,○
202602010408,1,4,2,1,4,3,○,○,×,×,逃げ,逃げ,○
202602010409,2,1,6,1,2,4,×,×,×,×,逃げ,逃げ,○
202602010410,1,5,6,1,5,2,○,○,×,×,逃げ,逃げ,○
202602010411,1,2,5,1,6,2,○,×,×,×,逃げ,逃げ,○
202602010412,1,5,2,5,1,6,×,×,×,×,逃げ,差し,×
202602010201,1,2,3,5,1,4,×,×,×,×,まくり,差し,×
202602010202,3,5,2,1,2,3,×,×,×,×,まくり,逃げ,×
202602010203,2,1,4,3,1,6,×,○,×,×,差し,まくり,×
202602010204,1,6,3,1,3,6,○,×,×,×,逃げ,逃げ,○
202602010205,4,1,3,4,6,2,○,×,×,×,逃げ,まくり,×
202602010206,3,1,5,2,6,1,×,×,×,×,逃げ,差し,×
202602010207,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202602010208,1,2,5,4,6,1,×,×,×,×,逃げ,まくり,×
202602010209,1,4,2,1,4,3,○,○,×,×,逃げ,逃げ,○
202602010210,3,1,2,1,4,5,×,×,×,×,逃げ,逃げ,○
202602010211,1,2,3,1,3,5,○,×,×,×,逃げ,逃げ,○
202602010212,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202602010101,1,3,5,4,5,1,×,×,×,×,逃げ,まくり,×
202602010102,1,2,5,5,6,1,×,×,×,×,逃げ,差し,×
202602010103,1,2,6,2,5,4,×,×,×,×,逃げ,まくり,×
202602010104,2,4,1,2,1,5,○,×,×,×,逃げ,差し,×
202602010105,1,2,5,2,1,4,×,×,×,×,逃げ,差し,×
202602010106,1,2,5,1,2,5,○,○,○,○,逃げ,逃げ,○
202602010107,1,3,2,3,5,2,×,×,○,×,逃げ,まくり,×
202602010108,1,5,2,5,1,6,×,×,×,×,逃げ,差し,×
202602010109,1,3,2,1,4,2,○,×,○,×,逃げ,,-
202602010110,1,2,4,1,2,6,○,○,×,×,逃げ,逃げ,○
202602010111,1,2,4,1,3,4,○,×,○,×,逃げ,逃げ,○
202602010112,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
