レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202602022301,1,2,3,1,3,5,○,×,×,×,逃げ,逃げ,○
202602022302,1,2,4,1,2,6,○,○,×,×,逃げ,逃げ,○
202602022303,1,2,5,3,2,1,×,○,×,×,逃げ,,-
202602022304,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202602022305,2,1,5,2,4,6,○,×,×,×,逃げ,逃げ,○
202602022306,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202602022307,1,2,4,3,5,4,×,×,○,×,逃げ,まくり,×
202602022308,1,4,3,1,5,2,○,×,×,×,逃げ,逃げ,○
202602022309,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202602022310,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202602022311,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202602022312,1,2,5,1,2,4,○,○,×,×,逃げ,逃げ,○
202602021901,1,3,2,4,1,5,×,×,×,×,逃げ,まくり,×
202602021902,1,4,3,3,5,4,×,×,×,×,逃げ,まくり,×
202602021903,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202602021904,1,3,2,3,6,5,×,×,×,×,逃げ,,-
202602021905,1,2,3,1,6,3,○,×,○,×,逃げ,逃げ,○
202602021906,1,3,4,1,3,2,○,○,×,×,逃げ,逃げ,○
202602021907,1,2,3,1,3,6,○,×,×,×,逃げ,逃げ,○
202602021908,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602021909,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202602021910,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202602021911,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202602021912,1,3,2,1,2,6,○,×,×,×,逃げ,逃げ,○
202602021601,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202602021602,1,2,4,1,3,4,○,×,○,×,逃げ,逃げ,○
202602021603,1,2,3,1,6,2,○,×,×,×,逃げ,逃げ,○
202602021604,1,3,2,2,1,4,×,×,×,×,逃げ,差し,×
202602021605,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202602021606,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202602021607,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602021608,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202602021609,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602021610,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202602021611,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202602021612,1,2,3,1,5,2,○,×,×,×,逃げ,逃げ,○
202602021401,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202602021402,1,2,3,3,2,6,×,○,×,×,逃げ,差し,×
202602021403,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202602021404,1,2,4,4,1,6,×,×,×,×,逃げ,まくり,×
202602021405,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602021406,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202602021407,1,2,4,1,6,4,○,×,○,×,逃げ,逃げ,○
202602021408,1,2,3,4,2,5,×,○,×,×,逃げ,まくり,×
202602021409,1,3,2,3,1,6,×,×,×,×,逃げ,,-
202602021410,1,2,4,1,4,2,○,×,×,×,逃げ,逃げ,○
202602021411,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202602021412,1,2,4,2,1,5,×,×,×,×,逃げ,まくり,×
202602021301,1,4,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202602021302,1,4,2,5,3,6,×,×,×,×,逃げ,差し,×
202602021303,1,2,3,1,5,3,○,×,○,×,逃げ,逃げ,○
202602021304,1,2,3,1,2,6,○,○,×,×,逃げ,逃げ,○
202602021305,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202602021306,1,2,3,1,5,3,○,×,○,×,逃げ,逃げ,○
202602021307,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202602021308,1,3,4,1,2,4,○,×,○,×,逃げ,逃げ,○
202602021309,1,3,4,4,1,2,×,×,×,×,逃げ,差し,×
202602021310,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202602021311,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202602021312,1,4,3,3,4,5,×,○,×,×,逃げ,まくり,×
202602021001,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202602021002,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202602021003,1,3,2,1,5,3,○,×,×,×,逃げ,逃げ,○
202602021004,1,2,4,1,6,2,○,×,×,×,逃げ,逃げ,○
202602021005,1,2,3,1,5,2,○,×,×,×,逃げ,逃げ,○
202602021006,1,2,3,4,5,3,×,×,○,×,逃げ,差し,×
202602021007,1,4,5,2,4,6,×,○,×,×,差し,まくり,×
202602021008,1,2,4,4,5,2,×,×,×,×,逃げ,まくり,×
202602021009,1,4,2,3,1,5,×,×,×,×,逃げ,,-
202602021010,1,3,5,1,2,3,○,×,×,×,逃げ,逃げ,○
202602021011,3,4,1,1,3,2,×,×,×,×,差し,逃げ,×
202602021012,1,2,5,1,2,4,○,○,×,×,逃げ,逃げ,○
202602020701,1,4,5,1,6,5,○,×,○,×,逃げ,逃げ,○
202602020702,1,2,5,2,6,1,×,×,×,×,逃げ,まくり,×
202602020703,2,3,1,1,2,5,×,×,×,×,差し,逃げ,×
202602020704,1,3,4,4,6,3,×,×,×,×,逃げ,まくり,×
202602020705,5,1,2,5,2,3,○,×,×,×,差し,差し,○
202602020706,2,6,3,5,3,1,×,×,×,×,差し,,-
202602020707,1,3,4,1,3,4,○,○,○,○,逃げ,,-
202602020708,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202602020709,1,5,2,1,5,4,○,○,×,×,逃げ,逃げ,○
202602020710,1,2,4,1,3,6,○,×,×,×,逃げ,逃げ,○
202602020711,1,4,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202602020712,1,3,2,2,4,1,×,×,×,×,逃げ,差し,×
202602020601,1,3,2,3,1,5,×,×,×,×,逃げ,,-
202602020602,4,1,3,3,2,5,×,×,×,×,差し,まくり,×
202602020603,1,2,5,2,3,4,×,×,×,×,逃げ,逃げ,○
202602020604,1,2,3,4,2,3,×,○,○,×,逃げ,差し,×
202602020605,1,2,4,5,2,3,×,○,×,×,逃げ,差し,×
202602020606,2,5,4,2,1,4,○,×,○,×,まくり,まくり,○
202602020607,2,5,1,1,2,3,×,×,×,×,差し,逃げ,×
202602020608,3,4,1,3,1,2,○,×,×,×,差し,まくり,×
202602020609,1,3,4,1,3,6,○,○,×,×,逃げ,逃げ,○
202602020610,1,3,5,1,4,5,○,×,○,×,逃げ,逃げ,○
202602020611,1,3,6,1,3,2,○,○,×,×,逃げ,逃げ,○
202602020612,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202602020301,1,3,4,4,3,1,×,○,×,×,逃げ,まくり,×
202602020302,1,2,5,1,2,3,○,○,×,×,逃げ,逃げ,○
202602020303,1,2,4,4,6,2,×,×,×,×,逃げ,差し,×
202602020304,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202602020305,2,1,5,1,4,5,×,×,○,×,逃げ,逃げ,○
202602020306,1,3,2,5,3,6,×,○,×,×,逃げ,差し,×
202602020307,1,2,6,3,6,5,×,×,×,×,逃げ,まくり,×
202602020308,2,1,6,1,6,3,×,×,×,×,差し,逃げ,×
202602020309,5,2,3,2,1,5,×,×,×,×,逃げ,差し,×
202602020310,1,2,4,1,3,4,○,×,○,×,逃げ,逃げ,○
202602020311,1,4,2,4,3,2,×,×,○,×,逃げ,まくり,×
202602020312,1,2,3,1,6,5,○,×,×,×,逃げ,逃げ,○
202602020201,1,5,2,2,4,1,×,×,×,×,逃げ,差し,×
202602020202,2,3,1,3,2,4,×,×,×,×,差し,まくり,×
