レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601192301,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601192302,1,3,2,1,5,3,○,×,×,×,逃げ,差し,×
202601192304,1,3,6,1,3,6,○,○,○,○,逃げ,逃げ,○
202601192305,3,6,1,1,5,3,×,×,×,×,差し,逃げ,×
202601192306,3,6,1,1,3,2,×,×,×,×,差し,逃げ,×
202601192307,1,2,5,5,1,6,×,×,×,×,逃げ,差し,×
202601192308,4,2,1,1,4,3,×,×,×,×,逃げ,逃げ,○
202601192309,1,5,3,3,1,5,×,×,×,×,逃げ,差し,×
202601192310,1,4,5,1,2,4,○,×,×,×,逃げ,逃げ,○
202601192311,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601192312,1,4,2,1,2,4,○,×,×,×,逃げ,逃げ,○
