レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601172301,1,3,2,5,1,6,×,×,×,×,逃げ,差し,×
202601172302,1,3,5,5,1,4,×,×,×,×,逃げ,まくり,×
202601172304,2,3,4,1,2,3,×,×,×,×,差し,逃げ,×
202601172305,1,5,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601172306,2,3,4,2,3,6,○,○,×,×,差し,逃げ,×
202601172307,2,4,3,3,2,5,×,×,×,×,差し,差し,○
202601172308,2,1,3,1,2,4,×,×,×,×,差し,逃げ,×
202601172309,1,3,2,3,4,5,×,×,×,×,逃げ,逃げ,○
202601172310,1,4,3,5,1,4,×,×,×,×,逃げ,まくり,×
202601172311,1,2,4,1,5,4,○,×,○,×,逃げ,,-
202601172312,1,2,4,3,4,6,×,×,×,×,逃げ,差し,×
202601171401,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601171402,1,2,4,3,4,2,×,×,×,×,逃げ,まくり,×
202601171403,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601171404,1,3,2,1,2,6,○,×,×,×,逃げ,逃げ,○
202601171405,1,2,4,4,2,1,×,○,×,×,逃げ,差し,×
202601171406,1,2,4,2,1,5,×,×,×,×,逃げ,差し,×
202601171407,2,1,3,5,2,1,×,×,×,×,逃げ,,-
202601171408,1,2,3,1,6,3,○,×,○,×,逃げ,逃げ,○
202601171409,1,3,2,5,4,6,×,×,×,×,逃げ,差し,×
202601171410,1,2,4,1,3,4,○,×,○,×,逃げ,逃げ,○
202601171411,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601171412,1,2,3,4,2,6,×,○,×,×,逃げ,まくり,×
