レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601101801,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601101802,1,3,4,1,3,5,○,○,×,×,逃げ,逃げ,○
202601101803,1,6,4,2,4,1,×,×,×,×,逃げ,まくり,×
202601101804,1,2,4,1,3,5,○,×,×,×,逃げ,逃げ,○
202601101805,1,2,3,1,6,4,○,×,×,×,逃げ,逃げ,○
202601101806,1,2,3,4,1,2,×,×,×,×,逃げ,差し,×
202601101807,1,3,2,6,1,3,×,×,×,×,逃げ,まくり,×
202601101808,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601101809,1,2,6,2,5,1,×,×,×,×,逃げ,まくり,×
202601101810,1,2,4,6,1,2,×,×,×,×,逃げ,差し,×
202601101811,1,2,4,1,4,6,○,×,×,×,逃げ,逃げ,○
202601101812,1,2,3,1,5,6,○,×,×,×,逃げ,逃げ,○
202601101701,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202601101702,1,3,2,3,2,5,×,×,×,×,逃げ,まくり,×
202601101703,1,2,3,2,1,5,×,×,×,×,逃げ,,-
202601101704,1,3,2,4,2,6,×,×,×,×,逃げ,差し,×
202601101705,1,3,4,4,6,3,×,×,×,×,逃げ,差し,×
202601101706,1,2,3,5,6,4,×,×,×,×,逃げ,まくり,×
202601101707,1,2,4,1,6,3,○,×,×,×,逃げ,,-
202601101601,1,2,4,1,3,6,○,×,×,×,逃げ,逃げ,○
202601101602,1,2,3,3,5,4,×,×,×,×,逃げ,差し,×
202601101603,1,2,6,6,2,3,×,○,×,×,逃げ,まくり,×
202601101604,4,2,1,1,4,6,×,×,×,×,逃げ,逃げ,○
202601101605,1,2,3,1,3,6,○,×,×,×,逃げ,逃げ,○
202601101606,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601101607,1,2,3,1,6,5,○,×,×,×,逃げ,逃げ,○
202601101608,1,3,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202601101609,1,2,4,1,2,6,○,○,×,×,逃げ,逃げ,○
202601101610,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601101611,1,2,3,3,2,4,×,○,×,×,逃げ,まくり,×
202601101612,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601101001,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202601101002,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202601101003,3,1,2,1,2,3,×,×,×,×,逃げ,,-
202601101004,1,2,3,2,4,3,×,×,○,×,逃げ,差し,×
202601101005,1,3,2,2,4,5,×,×,×,×,逃げ,差し,×
202601101006,1,3,2,2,5,1,×,×,×,×,逃げ,差し,×
202601100901,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202601100902,1,4,5,1,2,3,○,×,×,×,逃げ,逃げ,○
202601100903,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601100904,1,3,6,3,1,6,×,×,○,×,逃げ,まくり,×
202601100906,6,3,4,3,4,6,×,×,×,×,差し,まくり,×
202601100907,1,4,2,4,1,3,×,×,×,×,差し,差し,○
202601100908,1,3,6,4,2,1,×,×,×,×,差し,まくり,×
