レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601132101,1,3,2,2,3,1,×,○,×,×,逃げ,差し,×
202601132102,1,3,2,3,2,5,×,×,×,×,逃げ,まくり,×
202601132103,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202601132104,1,4,2,3,5,2,×,×,○,×,逃げ,まくり,×
202601132105,1,3,2,1,5,3,○,×,×,×,逃げ,,-
202601132106,1,4,3,1,4,5,○,○,×,×,逃げ,逃げ,○
202601132107,1,2,3,6,1,2,×,×,×,×,逃げ,まくり,×
202601132108,1,3,4,3,2,4,×,×,○,×,逃げ,差し,×
202601132109,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601132110,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601132111,1,2,3,1,3,5,○,×,×,×,逃げ,逃げ,○
202601132112,1,2,4,1,2,3,○,○,×,×,逃げ,,-
202601132001,1,2,5,3,1,6,×,×,×,×,逃げ,差し,×
202601132002,1,2,3,1,2,6,○,○,×,×,逃げ,逃げ,○
202601132003,1,2,3,3,1,2,×,×,×,×,逃げ,まくり,×
202601132004,1,3,2,1,6,4,○,×,×,×,逃げ,逃げ,○
202601132005,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601132006,1,2,3,4,3,1,×,×,×,×,逃げ,差し,×
202601132007,1,4,3,1,6,5,○,×,×,×,逃げ,差し,×
202601132008,1,3,4,1,4,3,○,×,×,×,逃げ,逃げ,○
202601132009,1,3,4,3,4,6,×,×,×,×,逃げ,まくり,×
202601132010,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601132011,1,3,4,1,2,4,○,×,○,×,逃げ,逃げ,○
202601132012,1,4,2,1,4,5,○,○,×,×,逃げ,逃げ,○
202601131901,1,2,3,1,6,4,○,×,×,×,逃げ,逃げ,○
202601131902,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601131903,1,2,3,5,3,2,×,×,×,×,逃げ,差し,×
202601131904,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601131905,1,3,2,4,6,1,×,×,×,×,逃げ,差し,×
202601131906,1,2,4,2,3,6,×,×,×,×,逃げ,まくり,×
202601131907,1,2,4,2,4,6,×,×,×,×,逃げ,差し,×
202601131908,1,2,3,1,3,5,○,×,×,×,逃げ,逃げ,○
202601131909,1,3,4,2,1,3,×,×,×,×,逃げ,差し,×
202601131910,5,1,2,4,5,6,×,×,×,×,逃げ,まくり,×
202601131911,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601131912,3,1,2,1,6,4,×,×,×,×,逃げ,,-
202601131801,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601131802,1,2,3,3,1,2,×,×,×,×,逃げ,差し,×
202601131803,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
