レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601142301,1,2,4,1,4,2,○,×,×,×,逃げ,逃げ,○
202601142302,1,2,3,5,1,3,×,×,○,×,逃げ,差し,×
202601142304,2,1,4,2,6,3,○,×,×,×,逃げ,まくり,×
202601142305,1,5,3,1,2,3,○,×,○,×,逃げ,逃げ,○
202601142306,4,2,3,1,3,4,×,×,×,×,差し,逃げ,×
202601142307,1,2,5,2,5,4,×,×,×,×,逃げ,まくり,×
202601142308,1,3,6,1,3,6,○,○,○,○,逃げ,逃げ,○
202601142309,2,3,5,5,1,6,×,×,×,×,逃げ,差し,×
202601142310,1,3,2,3,5,4,×,×,×,×,逃げ,差し,×
202601142311,1,2,3,2,3,1,×,×,×,×,逃げ,差し,×
202601142312,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202601140112,1,1,2,1,4,6,○,×,×,×,逃げ,逃げ,○
202601142201,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601142202,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601142204,1,2,3,3,1,4,×,×,×,×,逃げ,まくり,×
202601142205,1,2,6,2,3,5,×,×,×,×,逃げ,まくり,×
202601142206,1,3,2,4,5,6,×,×,×,×,逃げ,まくり,×
202601142208,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601142209,1,2,3,3,1,5,×,×,×,×,逃げ,まくり,×
202601142210,1,2,3,2,1,4,×,×,×,×,逃げ,,-
202601142211,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601142212,1,2,3,4,1,6,×,×,×,×,逃げ,まくり,×
202601141601,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601141602,1,2,4,2,1,3,×,×,×,×,逃げ,差し,×
202601141603,1,2,6,2,6,4,×,×,×,×,逃げ,まくり,×
202601141604,1,3,2,3,2,4,×,×,×,×,逃げ,差し,×
202601141605,1,2,3,1,6,2,○,×,×,×,逃げ,逃げ,○
202601141606,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601141607,1,2,4,1,4,2,○,×,×,×,逃げ,逃げ,○
202601141608,1,2,3,1,6,2,○,×,×,×,逃げ,逃げ,○
202601141609,1,3,2,2,3,4,×,○,×,×,逃げ,差し,×
202601141610,1,6,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601141611,1,2,4,1,2,6,○,○,×,×,逃げ,逃げ,○
202601141612,1,2,4,5,2,1,×,○,×,×,逃げ,差し,×
202601141501,1,4,2,4,2,6,×,×,×,×,逃げ,差し,×
202601141502,2,1,4,1,6,3,×,×,×,×,逃げ,,-
202601141503,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601141504,1,2,4,1,5,4,○,×,○,×,逃げ,逃げ,○
202601141505,1,3,2,3,1,4,×,×,×,×,逃げ,まくり,×
202601141506,1,2,3,1,6,5,○,×,×,×,逃げ,逃げ,○
202601141507,1,2,3,5,2,3,×,○,○,×,逃げ,まくり,×
202601141508,1,4,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601141509,1,3,2,1,6,2,○,×,○,×,逃げ,,-
202601141510,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601141511,1,3,5,1,4,3,○,×,×,×,逃げ,逃げ,○
202601141512,1,3,4,1,4,5,○,×,×,×,逃げ,逃げ,○
202601141401,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601141402,1,2,3,1,4,3,○,×,○,×,逃げ,逃げ,○
202601141403,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601141404,1,3,2,3,1,4,×,×,×,×,逃げ,差し,×
202601141405,1,2,4,1,2,5,○,○,×,×,差し,逃げ,×
202601141406,3,1,2,1,6,2,×,×,○,×,逃げ,逃げ,○
202601141407,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601141408,1,2,4,3,2,6,×,○,×,×,逃げ,まくり,×
202601141409,1,4,2,3,5,6,×,×,×,×,逃げ,まくり,×
202601141410,1,2,3,2,3,1,×,×,×,×,逃げ,,-
202601141411,1,4,2,1,5,4,○,×,×,×,逃げ,逃げ,○
202601141412,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601141201,1,2,4,4,2,5,×,○,×,×,逃げ,差し,×
202601141202,1,3,4,3,2,4,×,×,○,×,逃げ,まくり,×
202601141203,1,2,5,2,5,4,×,×,×,×,差し,まくり,×
202601141204,3,5,4,3,2,1,○,×,×,×,差し,まくり,×
202601141205,1,2,3,4,1,2,×,×,×,×,逃げ,,-
202601141206,1,3,5,1,3,2,○,○,×,×,逃げ,逃げ,○
202601141207,1,2,3,6,2,1,×,○,×,×,逃げ,差し,×
202601141208,1,4,2,1,4,3,○,○,×,×,逃げ,逃げ,○
202601141209,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601141210,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202601141211,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601141212,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202601140701,2,3,1,1,3,4,×,○,×,×,逃げ,逃げ,○
202601140702,1,2,3,1,3,6,○,×,×,×,逃げ,逃げ,○
202601140703,1,2,6,4,5,3,×,×,×,×,差し,まくり,×
202601140704,1,5,2,4,5,1,×,○,×,×,逃げ,差し,×
