レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601112001,1,2,3,1,4,3,○,×,○,×,逃げ,逃げ,○
202601112002,1,2,3,5,1,6,×,×,×,×,逃げ,差し,×
202601112003,1,3,2,3,6,1,×,×,×,×,逃げ,差し,×
202601112004,1,3,2,4,1,5,×,×,×,×,逃げ,,-
202601112005,1,3,2,1,4,5,○,×,×,×,逃げ,逃げ,○
202601112006,1,2,3,6,4,1,×,×,×,×,逃げ,差し,×
202601112007,1,3,2,5,6,1,×,×,×,×,逃げ,まくり,×
202601112008,1,3,2,3,1,2,×,×,○,×,逃げ,まくり,×
202601112009,1,2,3,2,6,1,×,×,×,×,逃げ,差し,×
202601112010,1,4,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202601112011,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601112012,1,3,2,1,4,5,○,×,×,×,逃げ,逃げ,○
202601111901,1,3,4,4,6,5,×,×,×,×,逃げ,まくり,×
202601111902,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601111903,2,1,5,3,2,5,×,×,○,×,逃げ,差し,×
202601111904,1,3,2,2,1,5,×,×,×,×,逃げ,差し,×
202601111905,1,2,4,1,3,5,○,×,×,×,逃げ,逃げ,○
202601111906,1,3,2,5,6,4,×,×,×,×,逃げ,差し,×
202601111907,1,4,2,4,5,1,×,×,×,×,逃げ,差し,×
202601111908,1,3,2,2,6,1,×,×,×,×,逃げ,差し,×
202601111909,1,3,2,1,3,6,○,○,×,×,逃げ,,-
202601111910,1,4,3,6,4,5,×,○,×,×,逃げ,まくり,×
202601111911,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601111912,1,2,4,1,4,3,○,×,×,×,逃げ,逃げ,○
202601111801,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601111802,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601111803,1,2,3,3,4,6,×,×,×,×,逃げ,,-
202601111804,1,2,3,4,1,2,×,×,×,×,逃げ,まくり,×
202601111805,1,2,3,1,2,6,○,○,×,×,逃げ,逃げ,○
202601111806,1,3,2,1,2,6,○,×,×,×,逃げ,逃げ,○
202601111807,1,2,4,3,1,5,×,×,×,×,逃げ,差し,×
202601111808,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202601111809,1,4,5,6,3,5,×,×,○,×,逃げ,まくり,×
202601111810,1,2,4,1,3,5,○,×,×,×,逃げ,逃げ,○
202601111811,1,2,3,2,1,5,×,×,×,×,逃げ,差し,×
202601111812,2,1,3,1,3,4,×,×,×,×,逃げ,逃げ,○
202601111701,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601111702,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202601111703,1,4,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601111704,1,3,2,3,6,4,×,×,×,×,逃げ,まくり,×
202601111705,1,2,4,5,6,3,×,×,×,×,逃げ,差し,×
202601111706,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202601111707,4,1,6,3,6,2,×,×,×,×,逃げ,まくり,×
202601111708,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601111709,1,3,2,4,2,5,×,×,×,×,逃げ,差し,×
202601111710,1,3,2,1,6,5,○,×,×,×,逃げ,逃げ,○
202601111711,1,2,3,3,5,6,×,×,×,×,逃げ,,-
202601111712,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202601111601,3,1,2,1,2,6,×,×,×,×,逃げ,,-
202601111602,1,2,4,2,1,6,×,×,×,×,逃げ,差し,×
