レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601262401,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601262402,3,1,4,1,5,4,×,×,○,×,逃げ,逃げ,○
202601262403,2,1,5,4,6,5,×,×,○,×,逃げ,差し,×
202601262404,1,3,2,5,6,1,×,×,×,×,逃げ,差し,×
202601262405,1,4,5,1,3,5,○,×,○,×,逃げ,逃げ,○
202601262406,1,4,3,1,2,4,○,×,×,×,逃げ,逃げ,○
202601262407,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601262408,1,3,5,1,2,3,○,×,×,×,逃げ,逃げ,○
202601262409,1,4,3,1,4,3,○,○,○,○,逃げ,逃げ,○
202601262410,1,2,3,1,5,3,○,×,○,×,逃げ,逃げ,○
202601262411,1,4,2,1,4,2,○,○,○,○,逃げ,逃げ,○
202601262412,1,2,5,1,5,2,○,×,×,×,逃げ,逃げ,○
202601262301,1,5,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202601262302,1,3,2,1,5,3,○,×,×,×,逃げ,逃げ,○
202601262304,2,1,6,1,2,3,×,×,×,×,差し,逃げ,×
202601262305,1,4,5,1,2,5,○,×,○,×,逃げ,逃げ,○
202601262306,2,6,4,3,2,4,×,×,○,×,差し,差し,○
202601262307,2,3,4,1,3,2,×,○,×,×,差し,逃げ,×
202601262309,1,3,6,1,2,6,○,×,○,×,逃げ,逃げ,○
202601262310,1,2,3,2,1,4,×,×,×,×,逃げ,差し,×
202601262311,1,3,2,1,5,2,○,×,○,×,逃げ,逃げ,○
202601262312,1,3,2,1,2,6,○,×,×,×,逃げ,逃げ,○
202601262001,1,2,3,3,6,4,×,×,×,×,逃げ,,-
202601262002,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601262003,1,2,5,1,2,6,○,○,×,×,逃げ,逃げ,○
202601262004,1,2,3,3,1,4,×,×,×,×,逃げ,差し,×
202601262005,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202601262006,1,3,5,1,5,6,○,×,×,×,逃げ,逃げ,○
202601262007,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601262008,1,2,3,1,3,6,○,×,×,×,逃げ,逃げ,○
