レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601182401,1,4,5,5,1,4,×,×,×,×,差し,差し,○
202601182402,1,4,2,2,4,6,×,○,×,×,差し,まくり,×
202601182403,2,1,4,2,3,5,○,×,×,×,差し,,-
202601182404,1,3,4,3,1,6,×,×,×,×,逃げ,差し,×
202601182405,1,3,2,6,1,3,×,×,×,×,差し,差し,○
202601182406,2,1,4,1,4,2,×,×,×,×,差し,逃げ,×
202601182407,1,3,2,3,1,2,×,×,○,×,逃げ,差し,×
202601182408,1,3,5,1,3,4,○,○,×,×,逃げ,逃げ,○
202601182409,1,3,4,4,5,3,×,×,×,×,逃げ,まくり,×
202601182410,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601182411,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202601182412,1,3,6,1,2,3,○,×,×,×,逃げ,逃げ,○
202601182301,1,2,4,1,5,2,○,×,×,×,逃げ,逃げ,○
202601182302,1,3,4,1,2,3,○,×,×,×,逃げ,逃げ,○
202601182304,4,1,3,1,3,2,×,×,×,×,差し,逃げ,×
202601182305,1,3,6,1,3,6,○,○,○,○,逃げ,逃げ,○
202601182306,4,1,5,1,4,3,×,×,×,×,差し,逃げ,×
202601182307,1,2,5,2,1,5,×,×,○,×,逃げ,差し,×
202601182308,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202601182309,1,4,3,1,4,2,○,○,×,×,逃げ,逃げ,○
202601182310,1,2,3,1,2,6,○,○,×,×,逃げ,逃げ,○
202601182311,1,2,4,5,4,1,×,×,×,×,逃げ,差し,×
202601182312,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601182001,1,2,4,1,3,6,○,×,×,×,逃げ,逃げ,○
202601182002,1,2,5,1,5,3,○,×,×,×,逃げ,逃げ,○
202601182003,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601182004,1,2,3,4,5,3,×,×,○,×,逃げ,差し,×
202601182005,1,4,2,2,4,1,×,○,×,×,逃げ,差し,×
202601182006,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601182007,1,2,3,1,3,5,○,×,×,×,逃げ,逃げ,○
202601182008,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601182009,1,3,2,4,5,6,×,×,×,×,逃げ,まくり,×
202601182010,1,2,3,1,3,6,○,×,×,×,逃げ,逃げ,○
202601182011,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601182012,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601181901,1,2,4,2,4,1,×,×,×,×,逃げ,まくり,×
202601181902,1,3,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202601181903,1,2,3,2,1,3,×,×,○,×,逃げ,差し,×
202601181904,1,3,2,4,6,5,×,×,×,×,逃げ,まくり,×
202601181905,1,3,4,1,2,6,○,×,×,×,逃げ,逃げ,○
202601181906,1,2,3,1,4,6,○,×,×,×,逃げ,逃げ,○
202601181907,1,2,4,1,2,5,○,○,×,×,逃げ,逃げ,○
202601181908,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202601181909,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601181910,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601181911,1,2,3,2,1,6,×,×,×,×,逃げ,差し,×
202601181912,1,3,2,1,4,3,○,×,×,×,逃げ,逃げ,○
202601181601,1,2,4,1,5,4,○,×,○,×,逃げ,逃げ,○
202601181602,1,2,3,2,6,5,×,×,×,×,逃げ,まくり,×
202601181603,5,2,1,5,3,6,○,×,×,×,逃げ,差し,×
202601181604,1,2,4,4,6,3,×,×,×,×,逃げ,まくり,×
202601181605,1,2,3,1,5,4,○,×,×,×,逃げ,逃げ,○
202601181606,1,2,3,3,5,1,×,×,×,×,逃げ,まくり,×
202601181607,1,2,4,6,1,4,×,×,○,×,逃げ,差し,×
202601181608,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202601181609,1,5,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601181610,1,3,2,1,6,3,○,×,×,×,逃げ,逃げ,○
202601181611,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601181612,1,3,2,3,1,4,×,×,×,×,逃げ,差し,×
202601181101,1,2,3,2,3,4,×,×,×,×,逃げ,まくり,×
202601181102,1,4,3,1,5,4,○,×,×,×,逃げ,逃げ,○
202601181103,1,2,4,2,3,1,×,×,×,×,逃げ,まくり,×
202601181104,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601181105,1,3,2,3,1,2,×,×,○,×,逃げ,差し,×
202601181106,1,4,2,2,1,4,×,×,×,×,逃げ,差し,×
202601181107,1,3,4,5,3,1,×,○,×,×,逃げ,差し,×
202601181108,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202601181109,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202601181110,1,2,4,1,2,6,○,○,×,×,逃げ,逃げ,○
202601181111,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601181112,1,3,2,1,4,3,○,×,×,×,逃げ,逃げ,○
202601180901,1,4,3,4,5,3,×,×,○,×,逃げ,まくり,×
202601180902,3,1,2,1,2,5,×,×,×,×,差し,逃げ,×
202601180903,1,2,3,2,3,1,×,×,×,×,逃げ,まくり,×
202601180904,2,1,3,2,4,3,○,×,○,×,差し,まくり,×
202601180906,3,5,2,1,3,5,×,×,×,×,差し,逃げ,×
202601180907,4,1,3,1,4,3,×,×,○,×,逃げ,逃げ,○
202601180908,1,4,2,1,2,6,○,×,×,×,差し,逃げ,×
202601180909,1,2,4,1,2,6,○,○,×,×,逃げ,逃げ,○
202601180910,1,3,2,1,6,5,○,×,×,×,逃げ,逃げ,○
202601180911,1,3,2,3,1,5,×,×,×,×,逃げ,差し,×
202601180912,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601180801,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202601180802,1,6,3,1,3,6,○,×,×,×,逃げ,逃げ,○
202601180803,1,3,6,2,1,3,×,×,×,×,逃げ,差し,×
202601180804,1,2,3,2,1,5,×,×,×,×,逃げ,差し,×
202601180805,1,6,4,4,6,1,×,○,×,×,逃げ,まくり,×
202601180806,1,4,5,4,1,6,×,×,×,×,逃げ,まくり,×
202601180807,1,4,2,2,3,5,×,×,×,×,逃げ,,-
202601180808,3,4,1,3,4,1,○,○,○,○,逃げ,,-
202601180809,1,2,5,1,2,5,○,○,○,○,逃げ,逃げ,○
202601180810,1,4,3,3,6,1,×,×,×,×,逃げ,差し,×
202601180811,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601180812,1,2,3,1,2,6,○,○,×,×,逃げ,逃げ,○
202601180701,1,4,5,1,3,5,○,×,○,×,逃げ,逃げ,○
202601180702,1,2,4,3,2,4,×,○,○,×,逃げ,差し,×
202601180703,2,6,3,4,1,6,×,×,×,×,逃げ,,-
202601180704,1,3,6,2,3,6,×,○,○,×,逃げ,差し,×
202601180705,1,3,6,1,3,2,○,○,×,×,逃げ,逃げ,○
202601180706,1,4,6,4,2,5,×,×,×,×,逃げ,差し,×
202601180707,1,4,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601180708,1,4,5,1,2,4,○,×,×,×,逃げ,逃げ,○
202601180709,1,2,3,1,4,3,○,×,○,×,逃げ,逃げ,○
202601180710,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601180711,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601180712,1,3,4,6,1,3,×,×,×,×,逃げ,差し,×
202601180601,1,2,3,5,4,3,×,×,○,×,逃げ,差し,×
202601180602,2,1,3,2,1,4,○,○,×,×,差し,差し,○
202601180603,1,2,3,4,5,3,×,×,○,×,差し,まくり,×
202601180604,3,1,4,5,4,6,×,×,×,×,差し,,-
202601180605,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202601180606,1,2,3,5,2,3,×,○,○,×,逃げ,差し,×
202601180607,1,4,3,1,2,5,○,×,×,×,逃げ,逃げ,○
202601180608,1,3,2,1,5,2,○,×,○,×,逃げ,逃げ,○
202601180609,1,4,3,1,4,3,○,○,○,○,逃げ,逃げ,○
202601180610,1,3,5,5,1,2,×,×,×,×,逃げ,差し,×
202601180611,1,5,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601180612,1,2,5,1,3,5,○,×,○,×,逃げ,逃げ,○
202601180401,2,3,1,3,1,2,×,×,×,×,差し,差し,○
202601180402,2,1,4,3,2,4,×,×,○,×,差し,差し,○
202601180403,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601180404,1,3,2,3,6,2,×,×,○,×,逃げ,,-
202601180405,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601180406,5,2,1,1,3,5,×,×,×,×,差し,逃げ,×
202601180407,1,2,5,3,2,1,×,○,×,×,差し,差し,○
202601180408,1,4,3,1,4,2,○,○,×,×,逃げ,逃げ,○
202601180409,1,4,5,5,4,6,×,○,×,×,逃げ,差し,×
202601180410,1,4,2,1,4,3,○,○,×,×,差し,逃げ,×
202601180411,1,2,4,3,2,4,×,○,○,×,逃げ,まくり,×
202601180412,1,4,2,1,4,5,○,○,×,×,逃げ,逃げ,○
202601180201,1,3,4,2,3,1,×,○,×,×,逃げ,差し,×
202601180202,4,3,2,2,1,6,×,×,×,×,まくり,差し,×
202601180203,3,1,5,4,5,3,×,×,×,×,差し,まくり,×
202601180204,4,3,6,3,2,4,×,×,×,×,まくり,差し,×
202601180205,1,4,3,3,4,5,×,○,×,×,逃げ,まくり,×
202601180206,1,2,3,5,2,3,×,○,○,×,まくり,,-
202601180207,1,2,4,2,6,4,×,×,○,×,逃げ,まくり,×
202601180208,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601180209,1,2,5,2,6,5,×,×,○,×,逃げ,差し,×
202601180210,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202601180211,1,3,4,4,6,3,×,×,×,×,逃げ,まくり,×
202601180212,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
