レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601252401,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601252402,1,2,3,1,3,6,○,×,×,×,逃げ,逃げ,○
202601252403,1,2,3,2,5,3,×,×,○,×,逃げ,まくり,×
202601252404,1,3,4,1,5,2,○,×,×,×,逃げ,逃げ,○
202601252405,3,1,5,4,3,5,×,×,○,×,差し,差し,○
202601252406,1,3,4,1,3,4,○,○,○,○,逃げ,逃げ,○
202601252407,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601252408,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601252409,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601252410,1,5,3,5,1,2,×,×,×,×,逃げ,差し,×
202601252411,1,2,4,1,4,2,○,×,×,×,逃げ,逃げ,○
202601252412,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601252301,1,2,3,1,2,5,○,○,×,×,逃げ,,-
202601252302,1,2,3,1,3,4,○,×,×,×,逃げ,まくり,×
202601252304,1,5,2,6,1,5,×,×,×,×,逃げ,,-
202601252305,1,4,2,5,2,1,×,×,×,×,逃げ,差し,×
202601252306,2,3,1,6,2,5,×,×,×,×,差し,まくり,×
202601252307,1,4,5,3,1,4,×,×,×,×,逃げ,差し,×
202601252309,1,2,3,1,4,5,○,×,×,×,逃げ,逃げ,○
202601252310,1,3,4,3,5,1,×,×,×,×,逃げ,まくり,×
202601252311,1,2,4,1,3,4,○,×,○,×,逃げ,逃げ,○
202601252312,1,2,4,1,4,5,○,×,×,×,逃げ,逃げ,○
202601252001,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601252002,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601252003,1,2,4,6,3,1,×,×,×,×,逃げ,,-
202601252004,1,2,4,5,4,6,×,×,×,×,逃げ,まくり,×
202601252005,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601252006,1,2,3,3,5,1,×,×,×,×,逃げ,まくり,×
202601252007,1,4,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601252008,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601252009,1,2,3,4,6,2,×,×,×,×,逃げ,まくり,×
202601252010,1,3,4,1,6,2,○,×,×,×,逃げ,逃げ,○
202601252011,1,2,3,5,4,2,×,×,×,×,逃げ,差し,×
202601252012,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601251801,1,2,4,4,6,1,×,×,×,×,逃げ,まくり,×
202601251802,1,3,2,3,4,1,×,×,×,×,逃げ,差し,×
202601251803,1,2,4,1,3,5,○,×,×,×,逃げ,逃げ,○
202601251804,1,3,2,1,4,3,○,×,×,×,逃げ,逃げ,○
202601251805,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601251806,1,2,4,3,5,2,×,×,×,×,逃げ,まくり,×
202601251807,1,2,4,1,2,5,○,○,×,×,逃げ,逃げ,○
202601251808,1,2,4,3,2,5,×,○,×,×,逃げ,差し,×
202601251809,1,2,3,3,2,1,×,○,×,×,逃げ,まくり,×
202601251810,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601251811,1,2,3,6,5,4,×,×,×,×,逃げ,差し,×
202601251812,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601251701,1,3,2,1,5,4,○,×,×,×,逃げ,逃げ,○
202601251702,1,3,2,4,2,1,×,×,×,×,逃げ,,-
202601251703,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601251704,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601251705,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202601251706,1,2,3,4,5,6,×,×,×,×,逃げ,差し,×
202601251707,1,2,3,3,1,6,×,×,×,×,逃げ,まくり,×
202601251708,1,3,2,1,4,3,○,×,×,×,逃げ,逃げ,○
202601251709,1,2,3,1,5,4,○,×,×,×,逃げ,逃げ,○
202601251710,1,2,3,1,5,4,○,×,×,×,逃げ,逃げ,○
202601251711,1,2,3,3,6,4,×,×,×,×,逃げ,まくり,×
202601251712,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601251001,1,2,4,1,3,4,○,×,○,×,逃げ,逃げ,○
202601251002,1,3,2,1,5,2,○,×,○,×,逃げ,逃げ,○
202601251003,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202601251004,4,2,1,3,5,1,×,×,○,×,逃げ,まくり,×
202601251005,1,3,5,1,2,5,○,×,○,×,逃げ,,-
202601251006,2,4,1,1,4,2,×,○,×,×,差し,逃げ,×
202601251007,4,3,1,1,2,3,×,×,×,×,差し,逃げ,×
202601251008,3,4,1,1,2,3,×,×,×,×,逃げ,逃げ,○
202601251009,2,5,4,1,2,3,×,×,×,×,差し,逃げ,×
202601251010,1,4,2,4,1,3,×,×,×,×,逃げ,まくり,×
202601251011,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601251012,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601250701,3,1,5,2,3,1,×,×,×,×,逃げ,まくり,×
202601250702,1,2,3,2,6,3,×,×,○,×,逃げ,まくり,×
202601250703,2,6,5,2,4,1,○,×,×,×,逃げ,差し,×
202601250704,3,2,1,1,2,4,×,○,×,×,差し,逃げ,×
202601250705,1,2,6,1,3,5,○,×,×,×,逃げ,逃げ,○
202601250706,3,1,6,4,5,3,×,×,×,×,逃げ,差し,×
202601250707,1,3,4,3,1,6,×,×,×,×,逃げ,差し,×
202601250708,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○
202601250709,1,3,4,1,6,3,○,×,×,×,逃げ,逃げ,○
