レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601012301,1,3,2,3,2,5.0,×,×,×,×,逃げ,まくり,×
202601012302,1,3,4,2,1,3.0,×,×,×,×,逃げ,逃げ,○
202601012304,3,4,6,3,2,5.0,○,×,×,×,差し,差し,○
202601012305,6,1,3,6,1,2.0,○,○,×,×,逃げ,差し,×
202601012306,1,2,3,1,2,3.0,○,○,○,○,逃げ,逃げ,○
202601012307,2,6,1,6,1,2.0,×,×,×,×,差し,逃げ,×
202601012309,1,4,3,1,2,4.0,○,×,×,×,逃げ,逃げ,○
202601012310,1,5,4,1,2,4.0,○,×,○,×,逃げ,逃げ,○
202601012311,1,2,3,1,3,5.0,○,×,×,×,逃げ,逃げ,○
202601012312,1,2,3,3,5,6.0,×,×,×,×,逃げ,差し,×
202601012101,1,2,3,1,3,4.0,○,×,×,×,逃げ,逃げ,○
202601012102,1,3,2,1,4,3.0,○,×,×,×,逃げ,逃げ,○
202601012103,1,3,2,4,1,2.0,×,×,○,×,逃げ,差し,×
202601012104,1,2,3,3,1,4.0,×,×,×,×,逃げ,差し,×
202601012105,1,2,3,1,2,5.0,○,○,×,×,逃げ,逃げ,○
202601012106,1,3,2,2,4,3.0,×,×,×,×,逃げ,まくり,×
202601012107,1,2,3,1,2,5.0,○,○,×,×,逃げ,逃げ,○
202601012108,1,3,2,4,1,,×,×,×,×,逃げ,,-
202601012109,1,2,3,1,3,2.0,○,×,×,×,逃げ,逃げ,○
202601012110,1,2,3,1,2,3.0,○,○,○,○,逃げ,逃げ,○
202601012111,1,2,3,1,3,5.0,○,×,×,×,逃げ,逃げ,○
202601012112,1,3,2,1,2,3.0,○,×,×,×,逃げ,逃げ,○
202601012001,1,2,3,4,6,2.0,×,×,×,×,逃げ,まくり,×
202601012002,1,3,2,1,6,3.0,○,×,×,×,逃げ,逃げ,○
202601012003,1,2,4,3,1,4.0,×,×,○,×,逃げ,差し,×
202601012004,1,3,2,1,6,2.0,○,×,○,×,逃げ,逃げ,○
202601012005,1,3,2,1,2,4.0,○,×,×,×,逃げ,逃げ,○
202601012006,1,2,3,1,3,5.0,○,×,×,×,逃げ,逃げ,○
202601012007,1,3,4,2,5,4.0,×,×,○,×,逃げ,差し,×
202601012008,1,2,3,1,2,3.0,○,○,○,○,逃げ,逃げ,○
202601012009,1,2,3,1,4,3.0,○,×,○,×,逃げ,逃げ,○
202601012010,1,2,4,3,1,5.0,×,×,×,×,逃げ,差し,×
202601012011,1,2,3,1,4,6.0,○,×,×,×,逃げ,逃げ,○
202601012012,1,3,2,1,4,3.0,○,×,×,×,逃げ,逃げ,○
202601011701,1,3,2,1,6,3.0,○,×,×,×,逃げ,逃げ,○
202601011702,1,2,4,3,1,5.0,×,×,×,×,逃げ,差し,×
202601011703,1,2,4,1,4,2.0,○,×,×,×,逃げ,逃げ,○
202601011704,1,3,2,3,4,2.0,×,×,○,×,逃げ,差し,×
202601011705,1,3,2,1,3,5.0,○,○,×,×,逃げ,逃げ,○
202601011706,1,2,3,1,4,2.0,○,×,×,×,逃げ,逃げ,○
202601011707,1,2,3,2,4,3.0,×,×,○,×,逃げ,差し,×
202601011708,1,2,3,1,3,4.0,○,×,×,×,逃げ,逃げ,○
202601011709,1,2,3,4,3,1.0,×,×,×,×,逃げ,差し,×
202601011710,1,2,3,4,6,2.0,×,×,×,×,逃げ,まくり,×
202601011711,1,3,4,1,3,6.0,○,○,×,×,逃げ,逃げ,○
202601011712,1,2,3,1,4,6.0,○,×,×,×,逃げ,逃げ,○
202601011601,1,2,3,4,3,1.0,×,×,×,×,逃げ,差し,×
202601011602,1,2,4,4,5,3.0,×,×,×,×,逃げ,まくり,×
202601011603,2,1,3,5,1,6.0,×,○,×,×,逃げ,差し,×
202601011604,1,3,2,1,3,6.0,○,○,×,×,逃げ,逃げ,○
202601011605,1,2,4,1,3,5.0,○,×,×,×,逃げ,逃げ,○
202601011606,1,2,4,1,4,6.0,○,×,×,×,逃げ,逃げ,○
202601011607,1,2,3,1,6,3.0,○,×,○,×,逃げ,逃げ,○
202601011608,1,3,2,1,2,4.0,○,×,×,×,逃げ,逃げ,○
202601011609,1,2,3,4,6,3.0,×,×,○,×,逃げ,差し,×
202601011610,1,2,3,1,4,5.0,○,×,×,×,逃げ,逃げ,○
202601011611,1,2,4,6,2,4.0,×,○,○,×,逃げ,まくり,×
202601011612,1,2,3,1,2,3.0,○,○,○,○,逃げ,逃げ,○
202601011501,1,2,4,1,3,2.0,○,×,×,×,逃げ,逃げ,○
202601011502,1,4,3,1,4,2.0,○,○,×,×,逃げ,逃げ,○
202601011503,1,2,4,3,2,4.0,×,○,○,×,逃げ,まくり,×
202601011504,1,2,4,5,1,6.0,×,×,×,×,逃げ,差し,×
202601011505,1,3,2,4,6,1.0,×,×,×,×,逃げ,まくり,×
202601011506,1,2,4,3,1,2.0,×,×,×,×,逃げ,差し,×
202601011507,1,2,4,3,2,1.0,×,○,×,×,逃げ,まくり,×
202601011508,1,2,3,1,3,2.0,○,×,×,×,逃げ,逃げ,○
202601011509,1,2,6,1,5,2.0,○,×,×,×,逃げ,逃げ,○
202601011510,1,2,3,1,2,5.0,○,○,×,×,逃げ,逃げ,○
202601011511,1,2,4,1,2,5.0,○,○,×,×,逃げ,逃げ,○
202601011512,1,2,4,1,4,5.0,○,×,×,×,逃げ,逃げ,○
202601011001,1,2,3,1,3,2.0,○,×,×,×,逃げ,逃げ,○
202601011002,1,2,4,2,1,5.0,×,×,×,×,逃げ,差し,×
202601011003,1,3,4,1,3,5.0,○,○,×,×,逃げ,逃げ,○
202601011004,1,3,4,1,3,4.0,○,○,○,○,逃げ,逃げ,○
202601011005,1,2,3,1,5,3.0,○,×,○,×,逃げ,逃げ,○
202601011006,3,1,6,3,6,5.0,○,×,×,×,差し,まくり,×
202601011007,1,3,4,1,5,3.0,○,×,×,×,差し,逃げ,×
202601011008,1,3,6,3,4,6.0,×,×,○,×,逃げ,差し,×
202601011009,2,3,1,5,3,6.0,×,○,×,×,差し,差し,○
202601011010,2,1,4,1,2,5.0,×,×,×,×,逃げ,,-
202601011011,1,3,2,2,3,4.0,×,○,×,×,逃げ,,-
202601011012,1,2,3,4,2,6.0,×,○,×,×,逃げ,,-
202601010901,1,3,2,1,3,6.0,○,○,×,×,逃げ,逃げ,○
202601010902,1,3,2,3,1,2.0,×,×,○,×,逃げ,差し,×
202601010903,2,1,5,4,3,5.0,×,×,○,×,差し,差し,○
202601010904,4,2,6,2,1,4.0,×,×,×,×,差し,差し,○
202601010906,1,3,4,4,3,2.0,×,○,×,×,逃げ,差し,×
202601010907,1,3,4,4,3,5.0,×,○,×,×,逃げ,まくり,×
202601010908,1,2,6,4,1,6.0,×,×,○,×,逃げ,,-
202601010909,1,2,3,1,2,4.0,○,○,×,×,逃げ,逃げ,○
202601010910,1,3,4,2,4,3.0,×,×,×,×,逃げ,差し,×
202601010911,1,3,2,3,1,5.0,×,×,×,×,逃げ,差し,×
202601010912,1,3,2,1,3,2.0,○,○,○,○,逃げ,逃げ,○
202601010801,1,4,3,1,3,4.0,○,×,×,×,逃げ,逃げ,○
202601010802,2,3,4,1,4,3.0,×,×,×,×,逃げ,逃げ,○
202601010803,4,2,3,1,3,2.0,×,×,×,×,逃げ,逃げ,○
202601010804,1,4,3,1,3,2.0,○,×,×,×,逃げ,逃げ,○
202601010805,1,4,2,5,1,4.0,×,×,×,×,差し,差し,○
202601010806,1,3,5,1,3,4.0,○,○,×,×,逃げ,逃げ,○
202601010807,1,2,3,1,2,5.0,○,○,×,×,逃げ,逃げ,○
202601010808,5,1,2,4,3,5.0,×,×,×,×,逃げ,まくり,×
202601010809,1,2,3,2,3,6.0,×,×,×,×,逃げ,差し,×
202601010810,1,5,3,3,5,2.0,×,○,×,×,逃げ,まくり,×
202601010811,1,5,2,1,4,2.0,○,×,○,×,逃げ,逃げ,○
202601010812,1,4,3,1,3,4.0,○,×,×,×,逃げ,逃げ,○
202601010701,1,3,2,1,2,3.0,○,×,×,×,逃げ,逃げ,○
202601010702,1,2,4,1,2,4.0,○,○,○,○,逃げ,逃げ,○
202601010703,2,5,4,4,6,3.0,×,×,×,×,差し,差し,○
202601010704,4,5,2,5,6,3.0,×,×,×,×,差し,差し,○
202601010705,6,4,3,6,5,4.0,○,×,×,×,差し,まくり,×
202601010706,1,4,5,1,5,3.0,○,×,×,×,逃げ,逃げ,○
202601010707,1,3,4,1,4,3.0,○,×,×,×,逃げ,,-
202601010708,2,1,5,1,2,6.0,×,×,×,×,逃げ,,-
202601010709,1,4,3,5,4,3.0,×,○,○,×,逃げ,,-
202601010710,1,3,2,1,6,3.0,○,×,×,×,逃げ,逃げ,○
202601010711,1,3,4,3,1,4.0,×,×,○,×,逃げ,差し,×
202601010712,1,3,4,1,3,2.0,○,○,×,×,逃げ,逃げ,○
202601010601,1,3,5,1,3,2.0,○,○,×,×,逃げ,逃げ,○
202601010602,1,2,5,5,4,3.0,×,×,×,×,逃げ,差し,×
202601010603,1,5,3,1,3,2.0,○,×,×,×,逃げ,逃げ,○
202601010604,1,4,2,2,5,3.0,×,×,×,×,逃げ,まくり,×
202601010605,2,5,3,2,3,6.0,○,×,×,×,差し,まくり,×
202601010606,1,2,4,1,6,5.0,○,×,×,×,逃げ,逃げ,○
202601010607,1,5,2,2,1,3.0,×,×,×,×,逃げ,差し,×
202601010608,1,4,5,4,2,1.0,×,×,×,×,逃げ,差し,×
202601010609,1,3,4,5,2,3.0,×,×,×,×,逃げ,差し,×
202601010610,1,4,2,1,2,5.0,○,×,×,×,逃げ,逃げ,○
202601010611,1,2,3,1,2,3.0,○,○,○,○,逃げ,逃げ,○
202601010612,1,3,2,3,5,1.0,×,×,×,×,逃げ,まくり,×
